Price,Adj Close,Close,High,Low,Open,Volume,20_SMA,50_SMA,ATR,ADX,Regime
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,
Date,,,,,,,,,,,
2023-07-21,19745.0,19745.0,19887.400390625,19700.0,19800.44921875,312500,19372.5126953125,18868.5530859375,151.78557477678572,68.31321085087356,Trending
2023-07-24,19672.349609375,19672.349609375,19782.75,19658.30078125,19748.44921875,265600,19422.85517578125,18895.7040625,151.09263392857142,68.43540678078405,Trending
2023-07-25,19680.599609375,19680.599609375,19729.349609375,19615.94921875,19729.349609375,369700,19472.3251953125,18921.3390625,153.33551897321428,68.13050474897088,Trending
2023-07-26,19778.30078125,19778.30078125,19825.599609375,19716.69921875,19733.349609375,244700,19520.37021484375,18951.175078125,151.17131696428572,67.6245568519328,Trending
2023-07-27,19659.900390625,19659.900390625,19867.55078125,19603.55078125,19850.900390625,334900,19554.76025390625,18980.7380859375,154.31417410714286,67.57485692320715,Trending
2023-07-28,19646.05078125,19646.05078125,19695.900390625,19563.099609375,19659.75,258700,19577.61025390625,19011.0601171875,156.03208705357142,66.32194695242364,Trending
2023-07-31,19753.80078125,19753.80078125,19772.75,19597.599609375,19666.349609375,295100,19599.17275390625,19042.068125,160.78208705357142,64.25521535535846,Trending
2023-08-01,19733.55078125,19733.55078125,19795.599609375,19704.599609375,19784.0,298000,19616.40029296875,19070.4511328125,156.85714285714286,63.60124064390016,Trending
2023-08-02,19526.55078125,19526.55078125,19678.25,19423.55078125,19655.400390625,290700,19622.80283203125,19094.0221484375,162.10714285714286,60.68412252187606,Trending
2023-08-03,19381.650390625,19381.650390625,19537.650390625,19296.44921875,19463.75,315700,19617.0203125,19115.9471484375,167.77511160714286,55.16479000273943,Trending
2023-08-04,19517.0,19517.0,19538.849609375,19436.44921875,19462.80078125,280800,19626.2802734375,19139.864140625,163.02511160714286,49.09340180384654,Trending
2023-08-07,19597.30078125,19597.30078125,19620.44921875,19524.80078125,19576.849609375,216600,19638.35029296875,19161.8231640625,160.625,42.90033531030609,Trending
2023-08-08,19570.849609375,19570.849609375,19634.400390625,19533.099609375,19627.19921875,260300,19644.92275390625,19181.2671484375,158.98577008928572,36.951763057171924,Trending
2023-08-09,19632.55078125,19632.55078125,19645.5,19467.5,19578.80078125,266500,19657.33525390625,19201.241171875,155.02511160714286,32.25601405631979,Trending
2023-08-10,19543.099609375,19543.099609375,19623.599609375,19495.400390625,19605.55078125,312200,19663.802734375,19221.41515625,150.79645647321428,28.318662614199038,Trending
2023-08-11,19428.30078125,19428.30078125,19557.75,19412.75,19554.25,235500,19656.9927734375,19240.226171875,152.26436941964286,25.74014401817317,Ranging
2023-08-14,19434.55078125,19434.55078125,19465.849609375,19257.900390625,19383.94921875,243900,19643.1478515625,19258.2351953125,159.01785714285714,24.222641451364144,Ranging
2023-08-16,19465.0,19465.0,19482.75,19317.19921875,19369.0,0,19628.9353515625,19275.658203125,163.06431361607142,23.650567287110317,Ranging
2023-08-17,19365.25,19365.25,19461.55078125,19326.25,19450.55078125,268700,19605.54033203125,19290.983203125,153.87151227678572,22.887743146276726,Ranging
2023-08-18,19310.150390625,19310.150390625,19373.80078125,19253.599609375,19301.75,256100,19572.09033203125,19302.658203125,152.97154017857142,23.30571659828201,Ranging
2023-08-21,19393.599609375,19393.599609375,19425.94921875,19296.30078125,19320.650390625,262600,19554.5203125,19317.8391796875,149.72140066964286,23.841316501314687,Ranging
2023-08-22,19396.44921875,19396.44921875,19443.5,19381.30078125,19417.099609375,208700,19540.72529296875,19334.50015625,147.66420200892858,23.611542126014374,Ranging
2023-08-23,19444.0,19444.0,19472.05078125,19366.599609375,19439.19921875,225200,19528.8953125,19351.35015625,137.00362723214286,23.59660121509586,Ranging
2023-08-24,19386.69921875,19386.69921875,19584.44921875,19369.0,19535.150390625,268300,19509.315234375,19364.7611328125,135.16420200892858,23.153615134508787,Ranging
2023-08-25,19265.80078125,19265.80078125,19339.55078125,19229.69921875,19297.400390625,466500,19489.61025390625,19374.959140625,135.69642857142858,23.932253749003483,Ranging
2023-08-28,19306.05078125,19306.05078125,19366.849609375,19249.69921875,19298.349609375,248200,19472.61025390625,19387.3181640625,137.23228236607142,25.7687287198431,Ranging
2023-08-29,19342.650390625,19342.650390625,19377.900390625,19309.099609375,19374.849609375,307400,19452.052734375,19397.651171875,134.91085379464286,27.42804728335992,Trending
2023-08-30,19347.44921875,19347.44921875,19452.80078125,19334.75,19433.44921875,233000,19432.74765625,19409.491171875,130.62876674107142,26.392518516734803,Trending
2023-08-31,19253.80078125,19253.80078125,19388.19921875,19223.650390625,19375.55078125,562600,19419.11015625,19418.233203125,133.22516741071428,25.877796424939266,Ranging
2023-09-01,19435.30078125,19435.30078125,19458.55078125,19255.69921875,19258.150390625,333000,19421.79267578125,19429.8022265625,137.357421875,24.277484727421943,Ranging
2023-09-04,19528.80078125,19528.80078125,19545.150390625,19432.849609375,19525.05078125,296800,19422.38271484375,19444.9532421875,130.525390625,24.201370708369307,Ranging
2023-09-05,19574.900390625,19574.900390625,19587.05078125,19525.75,19564.650390625,256800,19421.2626953125,19463.14125,123.07896205357143,23.640218431382543,Ranging
2023-09-06,19611.05078125,19611.05078125,19636.44921875,19491.5,19581.19921875,287600,19423.27275390625,19481.53828125,123.76813616071429,23.63659466297459,Ranging
2023-09-07,19727.05078125,19727.05078125,19737.0,19550.05078125,19598.650390625,304900,19427.99775390625,19499.7312890625,128.53585379464286,24.608598566150825,Ranging
2023-09-08,19819.94921875,19819.94921875,19867.150390625,19727.05078125,19774.80078125,288100,19441.840234375,19516.68828125,129.28236607142858,25.75037562602469,Ranging
2023-09-15,20192.349609375,20192.349609375,20222.44921875,20129.69921875,20156.44921875,438200,19609.4275390625,19587.8601953125,136.29310825892858,42.63472921842312,Trending
2023-09-18,20133.30078125,20133.30078125,20195.349609375,20115.69921875,20155.94921875,264900,19646.41259765625,19603.8901953125,137.06808035714286,46.2189720704274,Trending
2023-09-20,19901.400390625,19901.400390625,20050.650390625,19878.849609375,19980.75,378100,19671.66015625,19614.8001953125,140.90736607142858,49.59827347676059,Trending
2023-09-21,19742.349609375,19742.349609375,19848.75,19709.94921875,19840.55078125,275100,19686.57763671875,19620.8591796875,139.06821986607142,52.13303339798191,Trending
2023-09-22,19674.25,19674.25,19798.650390625,19657.5,19744.849609375,246400,19700.95517578125,19626.6581640625,134.66099330357142,54.85172503802115,Trending
2023-09-25,19674.55078125,19674.55078125,19734.150390625,19601.55078125,19678.19921875,188400,19721.39267578125,19631.8741796875,136.11090959821428,54.703547685509946,Trending
2023-09-26,19664.69921875,19664.69921875,19699.349609375,19637.44921875,19682.80078125,204900,19739.32509765625,19633.8781640625,136.15373883928572,53.02625618780926,Trending
2023-09-27,19716.44921875,19716.44921875,19730.69921875,19554.0,19637.05078125,203600,19758.0150390625,19633.9781640625,138.42159598214286,50.587350165731756,Trending
